"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.687926900810439,0.695658865517428,0.705634632584008,50000,0.95,0.475760154131793,0.899663800286032,NA,NA,0.45,0.55,2.396,9.45399999999999,88.15
"theta[2]",0.734487047328413,0.736977732893529,0.740465423398389,50000,0.95,0.626582477374068,0.838689351073213,NA,NA,0.45,0.55,0,0.102000000000004,99.898
"theta[3]",0.312854088539079,0.304781664978269,0.280723652442048,51019.3,0.95,0.100833491005813,0.531124483258745,NA,NA,0.45,0.55,87.83,9.52800000000001,2.642
"theta[1]-theta[2]",-0.0465601465179735,-0.040804977714034,-0.0381866035660524,50000,0.95,-0.300674963902116,0.186526501843341,0,37.324,-0.05,0.05,47.124,30.122,22.754
"theta[1]-theta[3]",0.37507281227136,0.381807428579338,0.390004358586452,51938.6,0.95,0.0651170085128915,0.681361398427912,0,98.672,-0.05,0.05,0.676,1.958,97.366
"theta[2]-theta[3]",0.421632958789333,0.428579191853043,0.444265190536842,50962.6,0.95,0.176696578553789,0.658894324251517,0,99.932,-0.05,0.05,0.018,0.244,99.738
